Region Label,Tini_curvature,Inclusion flag,n,ga_min,ga_max,a,amplitude,k,Tini_radiality,SE_Tini_radiality,CI_width_radiality,R2_radiality,p_fit_radiality,p_Tini_radiality,converged,q_fit_radiality,q_Tini_radiality,primary_radiality_pass,strict_radiality_pass,joint_primary_pass,joint_strict_pass,delta_weeks
Fusiform_R,28.1277318400782,1,93,22.571428571428573,38.285714285714285,0.6056862396051674,-0.09470316146704724,0.769701240510148,30.23796542191871,0.6126017178742675,2.401398734067129,0.6755168906865456,1.110219383420958e-21,1.8958285519282307e-66,True,1.5463769983363342e-21,3.842895713368035e-66,True,True,True,True,-2.1102335818405074
Postcentral_L,23.6344720334235,1,93,22.571428571428573,38.285714285714285,0.6592381128294643,-0.1693287428004476,0.7038209273045389,27.577996052843293,0.35254063692619914,1.3819592967507006,0.8743269832346715,5.862188614487666e-40,7.752277485529528e-84,True,1.8290028477201518e-39,3.420122420086557e-83,True,True,True,True,-3.943524019419794
Postcentral_R,23.3801140891033,1,93,22.571428571428573,38.285714285714285,0.6735327013418068,-0.18631001585633625,0.4569328266352303,26.688116036735774,0.5646777559990455,2.2135368035162584,0.8311431792385214,2.921797091197316e-34,7.853595143576749e-65,True,6.330560364260851e-34,1.4366332579713565e-64,True,True,True,True,-3.308001947632473
Parietal_Sup_L,27.9024046921605,1,93,22.571428571428573,38.285714285714285,0.7436462483883597,-0.2395311096598906,0.7036634072072916,28.504650237249614,0.2841863184092381,1.1140103681642133,0.9153543177756429,1.3801204002623987e-47,2.4474833528102426e-93,True,8.970782601705591e-47,1.835612514607682e-92,True,True,True,True,-0.6022455450891151
Parietal_Sup_R,28.3596492935111,1,93,22.571428571428573,38.285714285714285,0.7331143058396603,-0.22922484145298302,0.9669430418221432,29.198838056295887,0.24759964263695206,0.9705905991368521,0.8987816678716907,3.9053918448707853e-44,1.5071750733188382e-99,True,1.6923364661106735e-43,1.4129766312364109e-98,True,True,True,True,-0.8391887627847865
Parietal_Inf_L,26.8935456385801,1,93,22.571428571428573,38.285714285714285,0.726205641661634,-0.21473141353159045,0.7676037447360538,28.51050631699635,0.3655979288148689,1.433143880954286,0.8581657994175739,1.2650068727126209e-37,1.0187646469856627e-83,True,3.4024322783304976e-37,4.021439395996037e-83,True,True,True,True,-1.6169606784162482
Parietal_Inf_R,27.5115202213709,1,93,22.571428571428573,38.285714285714285,0.7340340709273423,-0.2340899103488095,1.039515319810387,28.94546894234951,0.2431714852004128,0.9532322219856181,0.8992767244622627,3.1406954135691833e-44,6.603111516387071e-100,True,1.531089014114977e-43,8.253889395483839e-99,True,True,True,True,-1.4339487209786093
SupraMarginal_L,25.7220455982077,0,93,22.571428571428573,38.285714285714285,0.9581453617113359,-0.5019900239832471,0.20617593044649887,19.03920491651181,5.4180605227231515,21.238797249074754,0.8762531897871794,2.9513348958437606e-40,0.0006961602712422328,True,9.591838411492221e-40,0.0007792838857189172,False,False,False,False,6.68284068169589
SupraMarginal_R,21.5219549760502,0,93,22.571428571428573,38.285714285714285,0.8015278927632149,-0.3252927029478224,0.29497613284197605,24.15457895533184,1.149763011145481,4.507071003690286,0.8413879986710043,1.813914249053412e-35,2.9499190486819384e-36,True,4.287433679580792e-35,3.749897095782125e-36,True,True,False,False,-2.6326239792816395
Angular_L,26.9684431451229,1,93,22.571428571428573,38.285714285714285,0.7967238813317576,-0.28305716305202006,0.7488998658495417,28.33721639138804,0.23913573124988502,0.9374120664995492,0.93662714946868,3.556869008219925e-53,9.832973166087252e-100,True,8.490080783568395e-52,1.0535328392236343e-98,True,True,True,True,-1.368773246265139
