region,tini_curvature,se_tini_curvature,ci_width_curvature,amplitude_curvature,k_curvature,r2_curvature,converged_curvature,tini_fdrad,se_tini_fdrad,ci_width_fdrad,amplitude_fdrad,k_fdrad,r2_fdrad,converged_fdrad,delta_tini,manuscript_tini_curvature,manuscript_tini_fdrad,manuscript_inclusion,qc_basic,qc_ciwidth_4w,qc_ciwidth_6w,qc_ciwidth_8w,qc_ciwidth_10w,qc_r2_0_1,qc_r2_0_2,qc_r2_0_3,qc_r2_0_4
Insula_L,20.291893312721637,4.7034423499545,18.437494011821638,0.10365632938279022,0.2850250197868417,0.7668249831003222,True,26.37734117406591,766.9337294823331,3006.380219570746,-0.053001002344795864,17.476062934303595,0.1209917755004356,True,-6.085447861344274,20.3512150185057,26.4020875256097,0,False,False,False,False,False,False,False,False,False
Insula_R,18.170470282777057,10.41193823087869,40.81479786504446,0.1318076361357734,0.18016904583901913,0.7806701954591183,True,-380.83569921758203,191677204028.3403,751374639791.094,-0.34169010055626875,4.5399929762484854e-05,1.332256102914986e-05,True,399.0061695003591,18.102511675524,38.2576665215437,0,False,False,False,False,False,False,False,False,False
Cingulum_Ant_L,277.36018464255454,56049.291689489524,219713.22342279894,3564.747294554312,0.005535980640318938,0.360886956100709,False,25.59033242051461,0.5870507638439558,2.301238994268307,-0.10168748339978644,1.3927029820348003,0.46295016139299683,True,251.76985222203993,81.4044701648416,25.8275785291175,0,False,False,False,False,False,False,False,False,False
Cingulum_Ant_R,24.039202607681315,3.2860423053398483e+17,1.2881285836932206e+18,0.030331410800196478,116.82141358824019,0.05736089257342114,True,26.06122616716604,0.8658055161122604,3.3939576231600608,-0.08732094250890123,1.1894043586240066,0.3678297152924246,True,-2.022023559484726,24.5204110501534,27.0383204204823,0,True,False,False,False,False,False,False,False,False
Cingulum_Mid_L,21.6500589680217,5.774115002404719,22.634530809426497,0.0876247785021798,0.30338981754844024,0.46318180679287313,True,23.521082546549696,1.3326355745872922,5.223931452382185,-0.1066502664478465,0.7566586915514881,0.3683108608292699,True,-1.8710235785279963,22.0746884744645,22.8767701270459,0,False,False,False,False,False,False,False,False,False
Cingulum_Mid_R,23.48860937172581,0.3205546270757634,1.2565741381369924,0.08271137473148464,4.328205527550845,0.36329525014631914,True,29.808900651689477,0.49460822753511313,1.9388642519376433,-0.05899077003897228,6.2467329478148885,0.37159838087583086,True,-6.320291279963666,25.4115751858843,21.6331607057303,0,True,True,True,True,True,True,True,True,False
Cingulum_Post_L,-13.146345254397872,553.811770696867,2170.942141131719,719.9354036415838,0.27813177756615987,0.2313079310024797,False,22.291249860826678,3.0759955149297653,12.05790241852468,-0.1928792092997309,0.40187757780693717,0.5088624839804752,True,-35.43759511522455,-1.50353438550264,22.7041225478986,0,False,False,False,False,False,False,False,False,False
Cingulum_Post_R,23.4866560323024,1.332786631962312,5.224523597292263,0.07367491462989416,1.5698396947531357,0.1315841793264615,True,20.744360204810135,6.906111508086169,27.07195711169778,-0.18867987066998382,0.42945512691213333,0.3810626215059496,True,2.7422958274922635,23.4804097697637,19.3581624187862,0,False,False,False,False,False,False,False,False,False
ParaHippocampal_L,27.154333195462087,1.3881988582642584,5.441739524395893,0.02767828666700347,0.38592752564413374,0.4954963624824601,True,26.978648532838776,1877126.54752139,7358336.066283849,-0.054547091567852424,122.58925228926529,0.19956383746321393,True,0.17568466262331128,27.1380106824684,26.5475222575682,1,True,False,False,False,False,True,False,False,False
ParaHippocampal_R,27.926384362742706,2.42942456972798,9.52334431333368,0.014370119878053091,0.49006495012945356,0.18122455775125546,True,-137.12332862198357,,,-0.014313571866098192,148.4131591025766,-4.440892098500626e-16,True,165.04971298472628,27.9044790784218,28.1584965193252,0,False,False,False,False,False,False,False,False,False
