t,"curvature, k3 = 0","curvature, k3 = 0.06","curvature, k3 = 0.13","curvature, k3 = 0.21","curvature, k3 = 0.28","curvature, k3 = 0.33","diameter, k = 0","diameter, k = 0.06","diameter, k = 0.13","diameter, k = 0.21","diameter, k = 0.28","diameter, k = 0.33",0°: κ = 0 (radially aligned),30°: κ = 0.06,45°: κ = 0.13,60°: κ = 0.21,75°: κ = 0.28,90°: κ = 0.33 (isotropic)
0.8200000000000001,0.5418510657751009,0.5504925691280131,0.564611291,0.5929884429834802,0.6543363759065868,0.7762949718730093,2.1168776301548484,2.118274521,2.1204467954452353,2.12375917910369,2.1262455147246,2.1238974066473624,1.1470324000148744,1.1660943831837014,1.1972282026731471,1.259364648888571,1.3912797843925302,1.6487708775544716
0.8300000000000001,0.5479936510511905,0.5569747772337861,0.572193816,0.6020651675562885,0.6671200810116664,0.7944188476164541,2.1210934407722957,2.122550071,2.124827666404912,2.1283427046268297,2.131103435589899,2.128849343797257,1.1623457388295424,1.1822068529627818,1.2158132507826014,1.2814010070783564,1.421701896594974,1.6911980424484614
0.84,0.554267395992229,0.5638246308394108,0.57992559,0.6113962992837774,0.680160273809169,0.8128942335174592,2.12531455122637,2.126830971,2.1292128638788803,2.132929433018317,2.135960143780017,2.133791031343592,1.1779925619726328,1.1991596870819006,1.2347850263205493,1.3040651619808445,1.4527952362388883,1.734546424910478
0.85,0.560842112006757,0.5711370671406688,0.58782593,0.6210882153551246,0.6934725492055082,0.8317003602046951,2.129541060758368,2.131117188,2.1336029770996023,2.1375189209213845,2.1408147835973246,2.1387211891111386,1.1943363061208327,1.2171600204873894,1.2541871542643426,1.3275878118828743,1.484596285358075,1.7787751833611478
0.86,0.5676743986288879,0.5786026228047313,0.596153694,0.6311179512082251,0.7070563588014384,0.8509864210572962,2.1337697876354893,2.135407652,2.1379974281796272,2.1421110116413815,2.1456662835149,2.143639301782311,1.2112864810084663,1.235552468204493,1.2745750645717844,1.3519247129276872,1.5171069896250597,1.8242079374614901
0.87,0.5749023416222665,0.5862107178981554,0.604694234,0.6413980211136402,0.7209152774949614,0.8707847917249841,2.1380008580524885,2.139697789,2.1423938507966716,2.1467050056441757,2.1505148832004175,2.1485445053679006,1.2291416996847906,1.2543137769747859,1.2954932085338036,1.37689234253492,1.5503390337794736,1.8709198796186464
0.88,0.5822731551465881,0.5939622014129806,0.61338956,0.6519214082780082,0.7350602797880308,0.8910114346711734,2.1422380391202025,2.143993025,2.1467913208584197,2.151298122138906,2.1553599778523416,2.1534361579140917,1.2473677021135603,1.2734508169430756,1.316819383713165,1.4024773014106298,1.584319508364066,1.9187362405358144
0.89,0.5897939082569389,0.6020804808796616,0.622373921,0.662742995827053,0.7495327659158355,0.9115934389994869,2.146479479166314,2.148292618,2.151192474624519,2.155892784457326,2.160201008102269,2.158314087339121,1.265980521010819,1.2934450525156673,1.3388460952577548,1.4288028426531751,1.6191414365370698,1.9675049613185083
0.9,0.597479568739773,0.6104701209374813,0.631720964,0.6741939753891986,0.7643008481752489,0.9325844309137666,2.1507254202162085,2.152596004,2.1555970300595906,2.1604888981620007,2.1650373344290914,2.1631878382606287,1.2850144965484473,1.314095542891419,1.3617358338247816,1.4565885990360687,1.6547398710352346,2.0173552991038695
0.91,0.6054498322319051,0.6189991241854266,0.641284768,0.6858840058925804,0.7797433710462084,0.9538589644638407,2.154976383534587,2.156903597,2.1600044603078468,2.1650859709711185,2.169868414183843,2.1680368280883693,1.3047300898747334,1.3351214374953961,1.3851779592074827,1.4849978388714977,1.6919405120024,2.0680013637598416
0.92,0.6137577947502662,0.6277375967673848,0.651020761,0.6977878951865043,0.7958469748335205,0.9754726370691436,2.1592318281180463,2.161215581,2.164415238451169,2.1696834844334223,2.17469385991648,2.1728693144955358,1.3252453651803178,1.3566762749131673,1.4090792556564764,1.5139788718237184,1.7307235296035623,2.1195745602175826
0.93,0.6222321906953849,0.6368251985523103,0.660924898,0.7099138604073362,0.8122003194352406,0.9974872419711989,2.1634914662259876,2.16553101,2.1688287430680635,2.1742815482947884,2.1795164657343826,2.1777018860392947,1.3461940345805667,1.379064715414435,1.433432915791728,1.543552607562393,1.7702039696838323,2.172229848140814
0.9400000000000001,0.6308517342966007,0.6461701834747895,0.671021013,0.7222568146578545,0.8288388155287802,1.019899781472796,2.1677524259976986,2.169850198,2.1732448927730723,2.178879575118407,2.1843379284763698,2.1825037873436517,1.3675303774663117,1.4020925005544682,1.4582929894456635,1.57371062144808,1.810464061352944,2.2259351357753396
0.9500000000000001,0.6397670462688148,0.655685914804154,0.681356371,0.734849366540706,0.8458789283503912,1.0427222300361145,2.1720087020129553,2.174171708,2.1776637491005495,2.183478462362411,2.1891434710404365,2.1872847257345502,1.3895795917569906,1.4255737653012897,1.483765069345405,1.6045277649222924,1.8517503332889402,2.2807304069418612
